"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"0114C1150","1931-1940",5
"0114C1150","1941-1950",13
"0114C1150","1951-1960",5
"0114C1150","1961-1970",38
"0114C1150","1971-1980",210
"0114C1150","1981-1990",31
"0114C1150","1991-2000",6
"0114C1150","2001-2010",1
"0114C1150","2011-2020",14
"0114C1150","2021-2030",1
"0114C1150","Ok�nt",..
"0114C1150","Totalt",329
"0114C1160","-1920",4
"0114C1160","1921-1930",10
"0114C1160","1931-1940",7
"0114C1160","1941-1950",5
"0114C1160","1951-1960",48
"0114C1160","1961-1970",36
"0114C1160","1971-1980",57
"0114C1160","1981-1990",13
"0114C1160","1991-2000",6
"0114C1160","2001-2010",7
"0114C1160","2011-2020",67
"0114C1160","2021-2030",..
"0114C1160","Ok�nt",8
"0114C1160","Totalt",268
"0114C1170","-1920",..
"0114C1170","1921-1930",..
"0114C1170","1931-1940",..
"0114C1170","1941-1950",..
"0114C1170","1951-1960",..
"0114C1170","1961-1970",338
"0114C1170","1971-1980",8
"0114C1170","1981-1990",8
"0114C1170","1991-2000",..
"0114C1170","2001-2010",2
"0114C1170","2011-2020",8
"0114C1170","2021-2030",..
"0114C1170","Ok�nt",3
"0114C1170","Totalt",367
"0114C1180","-1920",3
"0114C1180","1921-1930",..
"0114C1180","1931-1940",..
"0114C1180","1941-1950",1
"0114C1180","1951-1960",..
"0114C1180","1961-1970",..
"0114C1180","1971-1980",..
"0114C1180","1981-1990",53
"0114C1180","1991-2000",..
"0114C1180","2001-2010",..
"0114C1180","2011-2020",..
"0114C1180","2021-2030",..
"0114C1180","Ok�nt",..
"0114C1180","Totalt",57
"0114C1190","-1920",..
"0114C1190","1921-1930",..
"0114C1190","1931-1940",6
"0114C1190","1941-1950",1
"0114C1190","1951-1960",12
"0114C1190","1961-1970",106
"0114C1190","1971-1980",59
"0114C1190","1981-1990",..
"0114C1190","1991-2000",15
"0114C1190","2001-2010",29
"0114C1190","2011-2020",109
"0114C1190","2021-2030",..
"0114C1190","Ok�nt",1
"0114C1190","Totalt",338
"0114C1200","-1920",..
"0114C1200","1921-1930",..
"0114C1200","1931-1940",..
"0114C1200","1941-1950",..
"0114C1200","1951-1960",..
"0114C1200","1961-1970",75
"0114C1200","1971-1980",..
"0114C1200","1981-1990",..
"0114C1200","1991-2000",..
"0114C1200","2001-2010",..
"0114C1200","2011-2020",9
"0114C1200","2021-2030",..
"0114C1200","Ok�nt",..
"0114C1200","Totalt",84
"0114C1210","-1920",..
"0114C1210","1921-1930",..
"0114C1210","1931-1940",..
"0114C1210","1941-1950",..
"0114C1210","1951-1960",1
"0114C1210","1961-1970",..
"0114C1210","1971-1980",50
"0114C1210","1981-1990",..
"0114C1210","1991-2000",..
"0114C1210","2001-2010",1
"0114C1210","2011-2020",6
"0114C1210","2021-2030",..
"0114C1210","Ok�nt",5
"0114C1210","Totalt",63
"0114C1220","-1920",22
"0114C1220","1921-1930",2
"0114C1220","1931-1940",1
"0114C1220","1941-1950",6
"0114C1220","1951-1960",16
"0114C1220","1961-1970",142
"0114C1220","1971-1980",90
"0114C1220","1981-1990",49
"0114C1220","1991-2000",6
"0114C1220","2001-2010",2
"0114C1220","2011-2020",..
"0114C1220","2021-2030",73
"0114C1220","Ok�nt",9
"0114C1220","Totalt",418
"0115A0010","-1920",202
"0115A0010","1921-1930",29
"0115A0010","1931-1940",42
"0115A0010","1941-1950",48
"0115A0010","1951-1960",95
"0115A0010","1961-1970",91
"0115A0010","1971-1980",62
"0115A0010","1981-1990",155
"0115A0010","1991-2000",56
"0115A0010","2001-2010",91
"0115A0010","2011-2020",104
"0115A0010","2021-2030",16
"0115A0010","Ok�nt",77
"0115A0010","Totalt",1068
"0115A0020","-1920",129
"0115A0020","1921-1930",27
"0115A0020","1931-1940",30
"0115A0020","1941-1950",19
"0115A0020","1951-1960",34
"0115A0020","1961-1970",378
"0115A0020","1971-1980",112
"0115A0020","1981-1990",29
"0115A0020","1991-2000",43
"0115A0020","2001-2010",52
"0115A0020","2011-2020",36
"0115A0020","2021-2030",22
"0115A0020","Ok�nt",36
"0115A0020","Totalt",947
"0115A0030","-1920",245
"0115A0030","1921-1930",36
"0115A0030","1931-1940",21
"0115A0030","1941-1950",20
"0115A0030","1951-1960",38
"0115A0030","1961-1970",42
"0115A0030","1971-1980",35
"0115A0030","1981-1990",48
"0115A0030","1991-2000",32
"0115A0030","2001-2010",38
"0115A0030","2011-2020",39
"0115A0030","2021-2030",5
"0115A0030","Ok�nt",21
"0115A0030","Totalt",620
"0115A0040","-1920",124
"0115A0040","1921-1930",39
"0115A0040","1931-1940",14
"0115A0040","1941-1950",30
"0115A0040","1951-1960",32
"0115A0040","1961-1970",83
"0115A0040","1971-1980",98
"0115A0040","1981-1990",56
"0115A0040","1991-2000",18
"0115A0040","2001-2010",36
"0115A0040","2011-2020",29
"0115A0040","2021-2030",54
"0115A0040","Ok�nt",20
"0115A0040","Totalt",633
"0115B2010","-1920",30
"0115B2010","1921-1930",23
"0115B2010","1931-1940",11
"0115B2010","1941-1950",19
"0115B2010","1951-1960",10
"0115B2010","1961-1970",20
"0115B2010","1971-1980",114
"0115B2010","1981-1990",37
"0115B2010","1991-2000",20
"0115B2010","2001-2010",50
"0115B2010","2011-2020",108
"0115B2010","2021-2030",13
"0115B2010","Ok�nt",5
"0115B2010","Totalt",460
"0115B3010","-1920",47
"0115B3010","1921-1930",4
"0115B3010","1931-1940",4
"0115B3010","1941-1950",3
"0115B3010","1951-1960",3
"0115B3010","1961-1970",92
"0115B3010","1971-1980",82
"0115B3010","1981-1990",96
"0115B3010","1991-2000",7
"0115B3010","2001-2010",31
"0115B3010","2011-2020",12
"0115B3010","2021-2030",3
"0115B3010","Ok�nt",5
"0115B3010","Totalt",389
"0115C1010","-1920",6
"0115C1010","1921-1930",10
"0115C1010","1931-1940",10
"0115C1010","1941-1950",10
"0115C1010","1951-1960",7
"0115C1010","1961-1970",4
"0115C1010","1971-1980",186
"0115C1010","1981-1990",96
"0115C1010","1991-2000",138
"0115C1010","2001-2010",182
"0115C1010","2011-2020",108
"0115C1010","2021-2030",18
"0115C1010","Ok�nt",4
"0115C1010","Totalt",779
"0115C1020","-1920",7
"0115C1020","1921-1930",7
"0115C1020","1931-1940",2
"0115C1020","1941-1950",6
"0115C1020","1951-1960",1
"0115C1020","1961-1970",2
"0115C1020","1971-1980",..
"0115C1020","1981-1990",61
"0115C1020","1991-2000",71
"0115C1020","2001-2010",250
"0115C1020","2011-2020",76
"0115C1020","2021-2030",1
"0115C1020","Ok�nt",7
"0115C1020","Totalt",491
"0115C1030","-1920",..
"0115C1030","1921-1930",..
"0115C1030","1931-1940",2
"0115C1030","1941-1950",..
"0115C1030","1951-1960",..
"0115C1030","1961-1970",..
"0115C1030","1971-1980",..
"0115C1030","1981-1990",31
"0115C1030","1991-2000",..
"0115C1030","2001-2010",146
"0115C1030","2011-2020",11
"0115C1030","2021-2030",..
"0115C1030","Ok�nt",..
"0115C1030","Totalt",190
"0115C1040","-1920",5
"0115C1040","1921-1930",17
"0115C1040","1931-1940",6
"0115C1040","1941-1950",10
"0115C1040","1951-1960",23
"0115C1040","1961-1970",232
"0115C1040","1971-1980",155
"0115C1040","1981-1990",38
"0115C1040","1991-2000",29
"0115C1040","2001-2010",30
"0115C1040","2011-2020",71
"0115C1040","2021-2030",5
"0115C1040","Ok�nt",4
"0115C1040","Totalt",625
"0115C1050","-1920",43
"0115C1050","1921-1930",26
"0115C1050","1931-1940",14
"0115C1050","1941-1950",17
"0115C1050","1951-1960",72
"0115C1050","1961-1970",324
"0115C1050","1971-1980",109
"0115C1050","1981-1990",156
"0115C1050","1991-2000",19
"0115C1050","2001-2010",25
"0115C1050","2011-2020",100
"0115C1050","2021-2030",5
"0115C1050","Ok�nt",5
"0115C1050","Totalt",915
"0115C1060","-1920",..
"0115C1060","1921-1930",1
"0115C1060","1931-1940",2
"0115C1060","1941-1950",11
"0115C1060","1951-1960",73
"0115C1060","1961-1970",19
"0115C1060","1971-1980",9
"0115C1060","1981-1990",12
"0115C1060","1991-2000",6
"0115C1060","2001-2010",8
"0115C1060","2011-2020",4
"0115C1060","2021-2030",2
"0115C1060","Ok�nt",2
"0115C1060","Totalt",149
"0115C1070","-1920",8
"0115C1070","1921-1930",..
"0115C1070","1931-1940",..
"0115C1070","1941-1950",2
"0115C1070","1951-1960",2
"0115C1070","1961-1970",..
"0115C1070","1971-1980",..
"0115C1070","1981-1990",34
"0115C1070","1991-2000",2
"0115C1070","2001-2010",7
"0115C1070","2011-2020",73
"0115C1070","2021-2030",5
"0115C1070","Ok�nt",1
"0115C1070","Totalt",134
"0115C1080","-1920",7
"0115C1080","1921-1930",7
"0115C1080","1931-1940",6
"0115C1080","1941-1950",9
"0115C1080","1951-1960",5
"0115C1080","1961-1970",12
"0115C1080","1971-1980",360
"0115C1080","1981-1990",15
"0115C1080","1991-2000",5
"0115C1080","2001-2010",7
"0115C1080","2011-2020",7
"0115C1080","2021-2030",..
"0115C1080","Ok�nt",..
"0115C1080","Totalt",440
"0115C1090","-1920",..
"0115C1090","1921-1930",..
"0115C1090","1931-1940",..
"0115C1090","1941-1950",..
"0115C1090","1951-1960",..
"0115C1090","1961-1970",16
"0115C1090","1971-1980",18
"0115C1090","1981-1990",..
"0115C1090","1991-2000",..
"0115C1090","2001-2010",..
"0115C1090","2011-2020",..
"0115C1090","2021-2030",..
"0115C1090","Ok�nt",2
"0115C1090","Totalt",36
"0115C1100","-1920",17
"0115C1100","1921-1930",16
"0115C1100","1931-1940",8
"0115C1100","1941-1950",7
"0115C1100","1951-1960",17
"0115C1100","1961-1970",29
"0115C1100","1971-1980",126
"0115C1100","1981-1990",105
"0115C1100","1991-2000",112
"0115C1100","2001-2010",73
"0115C1100","2011-2020",133
"0115C1100","2021-2030",11
"0115C1100","Ok�nt",14
"0115C1100","Totalt",668
"0115C1110","-1920",2
"0115C1110","1921-1930",2
"0115C1110","1931-1940",..
"0115C1110","1941-1950",1
"0115C1110","1951-1960",1
"0115C1110","1961-1970",175
