"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"0380C1730","1991-2000",..
"0380C1730","2001-2010",..
"0380C1730","2011-2020",..
"0380C1730","2021-2030",..
"0380C1730","Ok�nt",..
"0380C1730","Totalt",20
"0380C1740","-1920",..
"0380C1740","1921-1930",..
"0380C1740","1931-1940",..
"0380C1740","1941-1950",..
"0380C1740","1951-1960",24
"0380C1740","1961-1970",4
"0380C1740","1971-1980",..
"0380C1740","1981-1990",..
"0380C1740","1991-2000",..
"0380C1740","2001-2010",..
"0380C1740","2011-2020",1
"0380C1740","2021-2030",..
"0380C1740","Ok�nt",1
"0380C1740","Totalt",30
"0380C1750","-1920",..
"0380C1750","1921-1930",..
"0380C1750","1931-1940",..
"0380C1750","1941-1950",..
"0380C1750","1951-1960",..
"0380C1750","1961-1970",36
"0380C1750","1971-1980",3
"0380C1750","1981-1990",3
"0380C1750","1991-2000",..
"0380C1750","2001-2010",..
"0380C1750","2011-2020",..
"0380C1750","2021-2030",..
"0380C1750","Ok�nt",..
"0380C1750","Totalt",42
"0380C1760","-1920",4
"0380C1760","1921-1930",7
"0380C1760","1931-1940",8
"0380C1760","1941-1950",1
"0380C1760","1951-1960",1
"0380C1760","1961-1970",6
"0380C1760","1971-1980",2
"0380C1760","1981-1990",14
"0380C1760","1991-2000",..
"0380C1760","2001-2010",7
"0380C1760","2011-2020",..
"0380C1760","2021-2030",..
"0380C1760","Ok�nt",2
"0380C1760","Totalt",52
"0380C1770","-1920",..
"0380C1770","1921-1930",..
"0380C1770","1931-1940",2
"0380C1770","1941-1950",2
"0380C1770","1951-1960",1
"0380C1770","1961-1970",..
"0380C1770","1971-1980",4
"0380C1770","1981-1990",2
"0380C1770","1991-2000",..
"0380C1770","2001-2010",1
"0380C1770","2011-2020",2
"0380C1770","2021-2030",..
"0380C1770","Ok�nt",..
"0380C1770","Totalt",14
"0380C1780","-1920",..
"0380C1780","1921-1930",2
"0380C1780","1931-1940",1
"0380C1780","1941-1950",9
"0380C1780","1951-1960",1
"0380C1780","1961-1970",7
"0380C1780","1971-1980",3
"0380C1780","1981-1990",..
"0380C1780","1991-2000",1
"0380C1780","2001-2010",..
"0380C1780","2011-2020",1
"0380C1780","2021-2030",..
"0380C1780","Ok�nt",..
"0380C1780","Totalt",25
"0380C1790","-1920",14
"0380C1790","1921-1930",46
"0380C1790","1931-1940",3
"0380C1790","1941-1950",11
"0380C1790","1951-1960",9
"0380C1790","1961-1970",2
"0380C1790","1971-1980",132
"0380C1790","1981-1990",18
"0380C1790","1991-2000",..
"0380C1790","2001-2010",13
"0380C1790","2011-2020",6
"0380C1790","2021-2030",..
"0380C1790","Ok�nt",..
"0380C1790","Totalt",254
"0380C1800","-1920",..
"0380C1800","1921-1930",..
"0380C1800","1931-1940",15
"0380C1800","1941-1950",6
"0380C1800","1951-1960",10
"0380C1800","1961-1970",1
"0380C1800","1971-1980",..
"0380C1800","1981-1990",1
"0380C1800","1991-2000",2
"0380C1800","2001-2010",1
"0380C1800","2011-2020",..
"0380C1800","2021-2030",..
"0380C1800","Ok�nt",..
"0380C1800","Totalt",36
"0380C1810","-1920",2
"0380C1810","1921-1930",7
"0380C1810","1931-1940",3
"0380C1810","1941-1950",3
"0380C1810","1951-1960",..
"0380C1810","1961-1970",22
"0380C1810","1971-1980",65
"0380C1810","1981-1990",..
"0380C1810","1991-2000",6
"0380C1810","2001-2010",1
"0380C1810","2011-2020",..
"0380C1810","2021-2030",..
"0380C1810","Ok�nt",1
"0380C1810","Totalt",110
"0380C1820","-1920",..
"0380C1820","1921-1930",..
"0380C1820","1931-1940",..
"0380C1820","1941-1950",..
"0380C1820","1951-1960",26
"0380C1820","1961-1970",..
"0380C1820","1971-1980",..
"0380C1820","1981-1990",..
"0380C1820","1991-2000",..
"0380C1820","2001-2010",3
"0380C1820","2011-2020",..
"0380C1820","2021-2030",..
"0380C1820","Ok�nt",..
"0380C1820","Totalt",29
"0380C1830","-1920",..
"0380C1830","1921-1930",..
"0380C1830","1931-1940",..
"0380C1830","1941-1950",..
"0380C1830","1951-1960",19
"0380C1830","1961-1970",..
"0380C1830","1971-1980",4
"0380C1830","1981-1990",2
"0380C1830","1991-2000",..
"0380C1830","2001-2010",..
"0380C1830","2011-2020",..
"0380C1830","2021-2030",7
"0380C1830","Ok�nt",6
"0380C1830","Totalt",38
"0380C1840","-1920",8
"0380C1840","1921-1930",1
"0380C1840","1931-1940",2
"0380C1840","1941-1950",6
"0380C1840","1951-1960",3
"0380C1840","1961-1970",1
"0380C1840","1971-1980",262
"0380C1840","1981-1990",33
"0380C1840","1991-2000",5
"0380C1840","2001-2010",7
"0380C1840","2011-2020",2
"0380C1840","2021-2030",2
"0380C1840","Ok�nt",2
"0380C1840","Totalt",334
"0380C1850","-1920",..
"0380C1850","1921-1930",..
"0380C1850","1931-1940",..
"0380C1850","1941-1950",..
"0380C1850","1951-1960",10
"0380C1850","1961-1970",..
"0380C1850","1971-1980",..
"0380C1850","1981-1990",..
"0380C1850","1991-2000",..
"0380C1850","2001-2010",4
"0380C1850","2011-2020",..
"0380C1850","2021-2030",..
"0380C1850","Ok�nt",..
"0380C1850","Totalt",14
"0380C1860","-1920",..
"0380C1860","1921-1930",..
"0380C1860","1931-1940",..
"0380C1860","1941-1950",..
"0380C1860","1951-1960",..
"0380C1860","1961-1970",..
"0380C1860","1971-1980",..
"0380C1860","1981-1990",..
"0380C1860","1991-2000",..
"0380C1860","2001-2010",7
"0380C1860","2011-2020",9
"0380C1860","2021-2030",1
"0380C1860","Ok�nt",1
"0380C1860","Totalt",18
"0380C1870","-1920",..
"0380C1870","1921-1930",1
"0380C1870","1931-1940",..
"0380C1870","1941-1950",1
"0380C1870","1951-1960",2
"0380C1870","1961-1970",2
"0380C1870","1971-1980",25
"0380C1870","1981-1990",53
"0380C1870","1991-2000",..
"0380C1870","2001-2010",1
"0380C1870","2011-2020",3
"0380C1870","2021-2030",..
"0380C1870","Ok�nt",1
"0380C1870","Totalt",89
"0380C1880","-1920",..
"0380C1880","1921-1930",..
"0380C1880","1931-1940",..
"0380C1880","1941-1950",..
"0380C1880","1951-1960",..
"0380C1880","1961-1970",44
"0380C1880","1971-1980",..
"0380C1880","1981-1990",..
"0380C1880","1991-2000",..
"0380C1880","2001-2010",..
"0380C1880","2011-2020",18
"0380C1880","2021-2030",..
"0380C1880","Ok�nt",..
"0380C1880","Totalt",62
"0380C1890","-1920",13
"0380C1890","1921-1930",9
"0380C1890","1931-1940",3
"0380C1890","1941-1950",..
"0380C1890","1951-1960",..
"0380C1890","1961-1970",14
"0380C1890","1971-1980",10
"0380C1890","1981-1990",6
"0380C1890","1991-2000",6
"0380C1890","2001-2010",10
"0380C1890","2011-2020",..
"0380C1890","2021-2030",..
"0380C1890","Ok�nt",2
"0380C1890","Totalt",73
"0380C1900","-1920",..
"0380C1900","1921-1930",..
"0380C1900","1931-1940",..
"0380C1900","1941-1950",..
"0380C1900","1951-1960",..
"0380C1900","1961-1970",43
"0380C1900","1971-1980",..
"0380C1900","1981-1990",..
"0380C1900","1991-2000",..
"0380C1900","2001-2010",..
"0380C1900","2011-2020",16
"0380C1900","2021-2030",..
"0380C1900","Ok�nt",..
"0380C1900","Totalt",59
"0380C1910","-1920",71
"0380C1910","1921-1930",57
"0380C1910","1931-1940",4
"0380C1910","1941-1950",1
"0380C1910","1951-1960",3
"0380C1910","1961-1970",..
"0380C1910","1971-1980",7
"0380C1910","1981-1990",13
"0380C1910","1991-2000",20
"0380C1910","2001-2010",2
"0380C1910","2011-2020",..
"0380C1910","2021-2030",1
"0380C1910","Ok�nt",2
"0380C1910","Totalt",181
"0380C1920","-1920",..
"0380C1920","1921-1930",..
"0380C1920","1931-1940",..
"0380C1920","1941-1950",..
"0380C1920","1951-1960",20
"0380C1920","1961-1970",..
"0380C1920","1971-1980",..
"0380C1920","1981-1990",10
"0380C1920","1991-2000",..
"0380C1920","2001-2010",1
"0380C1920","2011-2020",11
"0380C1920","2021-2030",..
"0380C1920","Ok�nt",..
"0380C1920","Totalt",42
"0380C1930","-1920",..
"0380C1930","1921-1930",..
"0380C1930","1931-1940",..
"0380C1930","1941-1950",..
"0380C1930","1951-1960",..
"0380C1930","1961-1970",6
"0380C1930","1971-1980",..
"0380C1930","1981-1990",20
"0380C1930","1991-2000",2
"0380C1930","2001-2010",..
"0380C1930","2011-2020",..
"0380C1930","2021-2030",1
"0380C1930","Ok�nt",4
"0380C1930","Totalt",33
"0380C1940","-1920",..
"0380C1940","1921-1930",..
"0380C1940","1931-1940",..
"0380C1940","1941-1950",..
"0380C1940","1951-1960",24
"0380C1940","1961-1970",..
"0380C1940","1971-1980",..
"0380C1940","1981-1990",..
"0380C1940","1991-2000",1
"0380C1940","2001-2010",..
"0380C1940","2011-2020",15
"0380C1940","2021-2030",..
"0380C1940","Ok�nt",2
"0380C1940","Totalt",42
"0380C1950","-1920",..
"0380C1950","1921-1930",..
"0380C1950","1931-1940",..
"0380C1950","1941-1950",..
"0380C1950","1951-1960",21
"0380C1950","1961-1970",..
"0380C1950","1971-1980",..
"0380C1950","1981-1990",..
"0380C1950","1991-2000",2
"0380C1950","2001-2010",..
"0380C1950","2011-2020",..
"0380C1950","2021-2030",..
"0380C1950","Ok�nt",..
"0380C1950","Totalt",23
"0380C1960","-1920",..
"0380C1960","1921-1930",..
"0380C1960","1931-1940",..
"0380C1960","1941-1950",..
"0380C1960","1951-1960",..
"0380C1960","1961-1970",36
"0380C1960","1971-1980",..
"0380C1960","1981-1990",..
"0380C1960","1991-2000",..
"0380C1960","2001-2010",..
"0380C1960","2011-2020",..
"0380C1960","2021-2030",..
"0380C1960","Ok�nt",..
"0380C1960","Totalt",36
"0380C1970","-1920",..
"0380C1970","1921-1930",..
"0380C1970","1931-1940",..
"0380C1970","1941-1950",..
"0380C1970","1951-1960",..
"0380C1970","1961-1970",34
"0380C1970","1971-1980",..
"0380C1970","1981-1990",..
"0380C1970","1991-2000",..
"0380C1970","2001-2010",..
"0380C1970","2011-2020",8
"0380C1970","2021-2030",..
"0380C1970","Ok�nt",..
"0380C1970","Totalt",42
"0380C1980","-1920",..
"0380C1980","1921-1930",..
"0380C1980","1931-1940",..
"0380C1980","1941-1950",26
"0380C1980","1951-1960",..
"0380C1980","1961-1970",19
"0380C1980","1971-1980",..
"0380C1980","1981-1990",1
"0380C1980","1991-2000",..
"0380C1980","2001-2010",..
"0380C1980","2011-2020",..
"0380C1980","2021-2030",..
"0380C1980","Ok�nt",1
"0380C1980","Totalt",47
"0380C1990","-1920",..
"0380C1990","1921-1930",..
"0380C1990","1931-1940",4
"0380C1990","1941-1950",31
"0380C1990","1951-1960",..
"0380C1990","1961-1970",..
"0380C1990","1971-1980",..
"0380C1990","1981-1990",..
"0380C1990","1991-2000",..
"0380C1990","2001-2010",..
"0380C1990","2011-2020",..
"0380C1990","2021-2030",..
"0380C1990","Ok�nt",..
"0380C1990","Totalt",35
"0380C2000","-1920",7
"0380C2000","1921-1930",1
"0380C2000","1931-1940",1
"0380C2000","1941-1950",6
"0380C2000","1951-1960",..
"0380C2000","1961-1970",10
"0380C2000","1971-1980",350
"0380C2000","1981-1990",3
"0380C2000","1991-2000",..
"0380C2000","2001-2010",1
"0380C2000","2011-2020",2
"0380C2000","2021-2030",4
"0380C2000","Ok�nt",3
"0380C2000","Totalt",388
"0380C2010","-1920",..
"0380C2010","1921-1930",..
"0380C2010","1931-1940",..
"0380C2010","1941-1950",..
"0380C2010","1951-1960",..
"0380C2010","1961-1970",33
"0380C2010","1971-1980",..
"0380C2010","1981-1990",..
"0380C2010","1991-2000",..
"0380C2010","2001-2010",..
"0380C2010","2011-2020",..
"0380C2010","2021-2030",2
"0380C2010","Ok�nt",2
"0380C2010","Totalt",37
"0380C2020","-1920",..
"0380C2020","1921-1930",..
"0380C2020","1931-1940",..
"0380C2020","1941-1950",..
"0380C2020","1951-1960",..
"0380C2020","1961-1970",..
"0380C2020","1971-1980",..
"0380C2020","1981-1990",..
"0380C2020","1991-2000",..
"0380C2020","2001-2010",3
"0380C2020","2011-2020",10
"0380C2020","2021-2030",1
"0380C2020","Ok�nt",3
"0380C2020","Totalt",17
"0380C2030","-1920",..
"0380C2030","1921-1930",..
"0380C2030","1931-1940",..
"0380C2030","1941-1950",..
"0380C2030","1951-1960",..
"0380C2030","1961-1970",13
"0380C2030","1971-1980",5
"0380C2030","1981-1990",..
"0380C2030","1991-2000",..
"0380C2030","2001-2010",3
"0380C2030","2011-2020",..
"0380C2030","2021-2030",..
"0380C2030","Ok�nt",..
"0380C2030","Totalt",21
"0380C2040","-1920",..
"0380C2040","1921-1930",1
"0380C2040","1931-1940",..
"0380C2040","1941-1950",..
"0380C2040","1951-1960",..
"0380C2040","1961-1970",17
"0380C2040","1971-1980",..
"0380C2040","1981-1990",..
"0380C2040","1991-2000",..
"0380C2040","2001-2010",..
"0380C2040","2011-2020",7
"0380C2040","2021-2030",1
"0380C2040","Ok�nt",1
"0380C2040","Totalt",27
"0380C2050","-1920",..
"0380C2050","1921-1930",..
"0380C2050","1931-1940",..
"0380C2050","1941-1950",..
"0380C2050","1951-1960",4
"0380C2050","1961-1970",15
"0380C2050","1971-1980",..
"0380C2050","1981-1990",..
"0380C2050","1991-2000",5
"0380C2050","2001-2010",1
"0380C2050","2011-2020",..
"0380C2050","2021-2030",..
"0380C2050","Ok�nt",244
"0380C2050","Totalt",269
"0380C2060","-1920",..
"0380C2060","1921-1930",53
"0380C2060","1931-1940",132
"0380C2060","1941-1950",100
"0380C2060","1951-1960",..
"0380C2060","1961-1970",1
"0380C2060","1971-1980",1
"0380C2060","1981-1990",7
"0380C2060","1991-2000",4
"0380C2060","2001-2010",7
"0380C2060","2011-2020",2
"0380C2060","2021-2030",..
"0380C2060","Ok�nt",4
"0380C2060","Totalt",311
"0380C2070","-1920",..
"0380C2070","1921-1930",..
"0380C2070","1931-1940",..
"0380C2070","1941-1950",24
"0380C2070","1951-1960",..
"0380C2070","1961-1970",..
"0380C2070","1971-1980",..
"0380C2070","1981-1990",..
"0380C2070","1991-2000",..
"0380C2070","2001-2010",..
"0380C2070","2011-2020",..
"0380C2070","2021-2030",..
"0380C2070","Ok�nt",..
"0380C2070","Totalt",24
"0380C2080","-1920",..
"0380C2080","1921-1930",..
"0380C2080","1931-1940",..
"0380C2080","1941-1950",..
"0380C2080","1951-1960",..
"0380C2080","1961-1970",33
"0380C2080","1971-1980",..
"0380C2080","1981-1990",..
"0380C2080","1991-2000",..
"0380C2080","2001-2010",..
"0380C2080","2011-2020",..
"0380C2080","2021-2030",..
"0380C2080","Ok�nt",..
"0380C2080","Totalt",33
"0380C2090","-1920",4
"0380C2090","1921-1930",6
"0380C2090","1931-1940",8
"0380C2090","1941-1950",16
"0380C2090","1951-1960",1
"0380C2090","1961-1970",4
"0380C2090","1971-1980",1
"0380C2090","1981-1990",6
"0380C2090","1991-2000",1
"0380C2090","2001-2010",10
"0380C2090","2011-2020",13
"0380C2090","2021-2030",2
"0380C2090","Ok�nt",112
"0380C2090","Totalt",184
"0380C2100","-1920",..
"0380C2100","1921-1930",..
"0380C2100","1931-1940",..
"0380C2100","1941-1950",..
"0380C2100","1951-1960",..
"0380C2100","1961-1970",19
"0380C2100","1971-1980",..
"0380C2100","1981-1990",..
"0380C2100","1991-2000",4
"0380C2100","2001-2010",..
"0380C2100","2011-2020",5
"0380C2100","2021-2030",..
"0380C2100","Ok�nt",1
"0380C2100","Totalt",29
"0380C2110","-1920",2
"0380C2110","1921-1930",2
"0380C2110","1931-1940",..
"0380C2110","1941-1950",2
"0380C2110","1951-1960",1
"0380C2110","1961-1970",33
"0380C2110","1971-1980",46
"0380C2110","1981-1990",26
"0380C2110","1991-2000",1
"0380C2110","2001-2010",..
"0380C2110","2011-2020",6
"0380C2110","2021-2030",..
"0380C2110","Ok�nt",3
"0380C2110","Totalt",122
"0380C2120","-1920",..
"0380C2120","1921-1930",..
"0380C2120","1931-1940",..
"0380C2120","1941-1950",..
"0380C2120","1951-1960",..
"0380C2120","1961-1970",17
"0380C2120","1971-1980",..
"0380C2120","1981-1990",..
"0380C2120","1991-2000",..
"0380C2120","2001-2010",..
"0380C2120","2011-2020",..
"0380C2120","2021-2030",..
"0380C2120","Ok�nt",..
"0380C2120","Totalt",17
"0380C2130","-1920",..
"0380C2130","1921-1930",..
"0380C2130","1931-1940",..
"0380C2130","1941-1950",..
"0380C2130","1951-1960",..
"0380C2130","1961-1970",19
"0380C2130","1971-1980",..
"0380C2130","1981-1990",25
"0380C2130","1991-2000",..
"0380C2130","2001-2010",..
"0380C2130","2011-2020",..
"0380C2130","2021-2030",..
"0380C2130","Ok�nt",..
"0380C2130","Totalt",44
"0380C2140","-1920",6
"0380C2140","1921-1930",2
"0380C2140","1931-1940",5
"0380C2140","1941-1950",3
"0380C2140","1951-1960",10
"0380C2140","1961-1970",42
"0380C2140","1971-1980",5
"0380C2140","1981-1990",2
"0380C2140","1991-2000",1
"0380C2140","2001-2010",..
"0380C2140","2011-2020",14
"0380C2140","2021-2030",..
"0380C2140","Ok�nt",5
"0380C2140","Totalt",95
"0380C2150","-1920",..
"0380C2150","1921-1930",..
"0380C2150","1931-1940",..
"0380C2150","1941-1950",..
"0380C2150","1951-1960",..
"0380C2150","1961-1970",37
"0380C2150","1971-1980",..
"0380C2150","1981-1990",..
"0380C2150","1991-2000",..
"0380C2150","2001-2010",6
"0380C2150","2011-2020",..
"0380C2150","2021-2030",..
"0380C2150","Ok�nt",2
"0380C2150","Totalt",45
"0380C2160","-1920",..
"0380C2160","1921-1930",..
"0380C2160","1931-1940",..
"0380C2160","1941-1950",..
"0380C2160","1951-1960",..
"0380C2160","1961-1970",..
"0380C2160","1971-1980",..
"0380C2160","1981-1990",79
"0380C2160","1991-2000",2
"0380C2160","2001-2010",..
"0380C2160","2011-2020",..
"0380C2160","2021-2030",..
"0380C2160","Ok�nt",..
"0380C2160","Totalt",81
"0380C2170","-1920",..
"0380C2170","1921-1930",1
"0380C2170","1931-1940",1
"0380C2170","1941-1950",27
"0380C2170","1951-1960",12
"0380C2170","1961-1970",290
"0380C2170","1971-1980",..
"0380C2170","1981-1990",..
"0380C2170","1991-2000",2
"0380C2170","2001-2010",2
"0380C2170","2011-2020",..
"0380C2170","2021-2030",..
"0380C2170","Ok�nt",49
"0380C2170","Totalt",384
"0380C2180","-1920",..
"0380C2180","1921-1930",..
"0380C2180","1931-1940",..
"0380C2180","1941-1950",..
"0380C2180","1951-1960",..
"0380C2180","1961-1970",..
"0380C2180","1971-1980",210
"0380C2180","1981-1990",..
"0380C2180","1991-2000",15
"0380C2180","2001-2010",..
"0380C2180","2011-2020",..
"0380C2180","2021-2030",..
"0380C2180","Ok�nt",..
"0380C2180","Totalt",225
"0380C2190","-1920",1
"0380C2190","1921-1930",67
"0380C2190","1931-1940",4
"0380C2190","1941-1950",16
"0380C2190","1951-1960",4
"0380C2190","1961-1970",115
"0380C2190","1971-1980",44
"0380C2190","1981-1990",9
"0380C2190","1991-2000",6
"0380C2190","2001-2010",6
"0380C2190","2011-2020",7
"0380C2190","2021-2030",10
"0380C2190","Ok�nt",5
"0380C2190","Totalt",294
"0380C2200","-1920",..
"0380C2200","1921-1930",..
"0380C2200","1931-1940",..
"0380C2200","1941-1950",..
"0380C2200","1951-1960",..
"0380C2200","1961-1970",..
"0380C2200","1971-1980",32
"0380C2200","1981-1990",..
"0380C2200","1991-2000",3
"0380C2200","2001-2010",2
"0380C2200","2011-2020",7
"0380C2200","2021-2030",..
"0380C2200","Ok�nt",..
"0380C2200","Totalt",44
"0380C2210","-1920",37
"0380C2210","1921-1930",47
"0380C2210","1931-1940",11
"0380C2210","1941-1950",26
"0380C2210","1951-1960",32
"0380C2210","1961-1970",46
"0380C2210","1971-1980",52
"0380C2210","1981-1990",27
"0380C2210","1991-2000",6
"0380C2210","2001-2010",86
"0380C2210","2011-2020",50
"0380C2210","2021-2030",32
"0380C2210","Ok�nt",27
"0380C2210","Totalt",479
"0381A0010","-1920",287
"0381A0010","1921-1930",203
"0381A0010","1931-1940",29
"0381A0010","1941-1950",45
"0381A0010","1951-1960",66
"0381A0010","1961-1970",182
"0381A0010","1971-1980",208
"0381A0010","1981-1990",104
"0381A0010","1991-2000",68
"0381A0010","2001-2010",64
"0381A0010","2011-2020",78
"0381A0010","2021-2030",35
"0381A0010","Ok�nt",152
"0381A0010","Totalt",1521
"0381A0020","-1920",97
"0381A0020","1921-1930",46
"0381A0020","1931-1940",20
"0381A0020","1941-1950",49
"0381A0020","1951-1960",48
"0381A0020","1961-1970",143
"0381A0020","1971-1980",302
"0381A0020","1981-1990",67
"0381A0020","1991-2000",40
"0381A0020","2001-2010",46
"0381A0020","2011-2020",43
"0381A0020","2021-2030",12
"0381A0020","Ok�nt",97
"0381A0020","Totalt",1010
"0381A0030","-1920",137
"0381A0030","1921-1930",112
"0381A0030","1931-1940",11
"0381A0030","1941-1950",26
"0381A0030","1951-1960",22
"0381A0030","1961-1970",15
"0381A0030","1971-1980",33
"0381A0030","1981-1990",39
"0381A0030","1991-2000",17
"0381A0030","2001-2010",36
"0381A0030","2011-2020",21
"0381A0030","2021-2030",8
"0381A0030","Ok�nt",73
"0381A0030","Totalt",550
"0381A0040","-1920",118
"0381A0040","1921-1930",72
"0381A0040","1931-1940",20
"0381A0040","1941-1950",19
"0381A0040","1951-1960",16
"0381A0040","1961-1970",14
"0381A0040","1971-1980",34
"0381A0040","1981-1990",42
"0381A0040","1991-2000",18
"0381A0040","2001-2010",45
"0381A0040","2011-2020",16
"0381A0040","2021-2030",4
"0381A0040","Ok�nt",42
"0381A0040","Totalt",460
"0381A0050","-1920",184
"0381A0050","1921-1930",128
"0381A0050","1931-1940",33
"0381A0050","1941-1950",46
"0381A0050","1951-1960",51
"0381A0050","1961-1970",107
"0381A0050","1971-1980",63
"0381A0050","1981-1990",65
"0381A0050","1991-2000",38
"0381A0050","2001-2010",63
"0381A0050","2011-2020",121
"0381A0050","2021-2030",23
"0381A0050","Ok�nt",80
"0381A0050","Totalt",1002
"0381A0060","-1920",246
"0381A0060","1921-1930",76
"0381A0060","1931-1940",32
"0381A0060","1941-1950",44
"0381A0060","1951-1960",23
"0381A0060","1961-1970",22
"0381A0060","1971-1980",41
"0381A0060","1981-1990",65
"0381A0060","1991-2000",20
"0381A0060","2001-2010",35
"0381A0060","2011-2020",24
"0381A0060","2021-2030",17
"0381A0060","Ok�nt",55
"0381A0060","Totalt",700
"0381A0070","-1920",310
"0381A0070","1921-1930",195
"0381A0070","1931-1940",43
"0381A0070","1941-1950",52
"0381A0070","1951-1960",62
"0381A0070","1961-1970",105
"0381A0070","1971-1980",179
"0381A0070","1981-1990",129
"0381A0070","1991-2000",49
"0381A0070","2001-2010",89
"0381A0070","2011-2020",50
"0381A0070","2021-2030",9
"0381A0070","Ok�nt",166
"0381A0070","Totalt",1438
"0381A0080","-1920",317
"0381A0080","1921-1930",85
"0381A0080","1931-1940",87
"0381A0080","1941-1950",57
"0381A0080","1951-1960",33
"0381A0080","1961-1970",97
"0381A0080","1971-1980",89
"0381A0080","1981-1990",106
"0381A0080","1991-2000",42
"0381A0080","2001-2010",44
"0381A0080","2011-2020",31
"0381A0080","2021-2030",3
"0381A0080","Ok�nt",85
"0381A0080","Totalt",1076
"0381A0090","-1920",306
"0381A0090","1921-1930",94
"0381A0090","1931-1940",71
"0381A0090","1941-1950",64
"0381A0090","1951-1960",54
"0381A0090","1961-1970",93
"0381A0090","1971-1980",82
"0381A0090","1981-1990",84
"0381A0090","1991-2000",32
"0381A0090","2001-2010",21
"0381A0090","2011-2020",13
"0381A0090","2021-2030",6
"0381A0090","Ok�nt",84
"0381A0090","Totalt",1004
"0381B2010","-1920",23
"0381B2010","1921-1930",22
"0381B2010","1931-1940",14
"0381B2010","1941-1950",14
"0381B2010","1951-1960",22
"0381B2010","1961-1970",72
"0381B2010","1971-1980",183
"0381B2010","1981-1990",101
"0381B2010","1991-2000",78
"0381B2010","2001-2010",42
"0381B2010","2011-2020",37
"0381B2010","2021-2030",5
"0381B2010","Ok�nt",20
"0381B2010","Totalt",633
"0381B3010","-1920",19
"0381B3010","1921-1930",34
"0381B3010","1931-1940",34
"0381B3010","1941-1950",42
"0381B3010","1951-1960",21
"0381B3010","1961-1970",83
"0381B3010","1971-1980",40
"0381B3010","1981-1990",40
"0381B3010","1991-2000",8
"0381B3010","2001-2010",136
"0381B3010","2011-2020",278
"0381B3010","2021-2030",22
"0381B3010","Ok�nt",46
"0381B3010","Totalt",803
"0381B4010","-1920",27
"0381B4010","1921-1930",37
"0381B4010","1931-1940",8
"0381B4010","1941-1950",20
"0381B4010","1951-1960",48
"0381B4010","1961-1970",45
"0381B4010","1971-1980",67
"0381B4010","1981-1990",31
"0381B4010","1991-2000",25
"0381B4010","2001-2010",37
"0381B4010","2011-2020",46
"0381B4010","2021-2030",17
"0381B4010","Ok�nt",4
"0381B4010","Totalt",412
"0381B5010","-1920",4
"0381B5010","1921-1930",3
"0381B5010","1931-1940",6
"0381B5010","1941-1950",5
"0381B5010","1951-1960",19
"0381B5010","1961-1970",63
"0381B5010","1971-1980",135
"0381B5010","1981-1990",46
"0381B5010","1991-2000",14
"0381B5010","2001-2010",7
"0381B5010","2011-2020",1
"0381B5010","2021-2030",..
"0381B5010","Ok�nt",2
"0381B5010","Totalt",305
"0381C1010","-1920",5
"0381C1010","1921-1930",8
"0381C1010","1931-1940",4
"0381C1010","1941-1950",6
"0381C1010","1951-1960",2
"0381C1010","1961-1970",..
"0381C1010","1971-1980",92
"0381C1010","1981-1990",230
"0381C1010","1991-2000",51
"0381C1010","2001-2010",65
"0381C1010","2011-2020",47
"0381C1010","2021-2030",11
"0381C1010","Ok�nt",1
"0381C1010","Totalt",522
"0381C1020","-1920",1
"0381C1020","1921-1930",2
"0381C1020","1931-1940",..
"0381C1020","1941-1950",45
"0381C1020","1951-1960",8
"0381C1020","1961-1970",169
"0381C1020","1971-1980",242
"0381C1020","1981-1990",11
"0381C1020","1991-2000",21
"0381C1020","2001-2010",104
"0381C1020","2011-2020",30
"0381C1020","2021-2030",..
"0381C1020","Ok�nt",1
"0381C1020","Totalt",634
"0381C1030","-1920",6
"0381C1030","1921-1930",14
"0381C1030","1931-1940",4
"0381C1030","1941-1950",5
"0381C1030","1951-1960",17
"0381C1030","1961-1970",10
"0381C1030","1971-1980",41
"0381C1030","1981-1990",9
"0381C1030","1991-2000",2
"0381C1030","2001-2010",3
"0381C1030","2011-2020",4
"0381C1030","2021-2030",1
"0381C1030","Ok�nt",4
"0381C1030","Totalt",120
"0381C1040","-1920",5
"0381C1040","1921-1930",26
"0381C1040","1931-1940",6
"0381C1040","1941-1950",13
"0381C1040","1951-1960",6
"0381C1040","1961-1970",25
"0381C1040","1971-1980",309
"0381C1040","1981-1990",53
"0381C1040","1991-2000",1
"0381C1040","2001-2010",2
"0381C1040","2011-2020",70
"0381C1040","2021-2030",8
"0381C1040","Ok�nt",5
"0381C1040","Totalt",529
"0381C1050","-1920",..
"0381C1050","1921-1930",..
"0381C1050","1931-1940",3
"0381C1050","1941-1950",6
"0381C1050","1951-1960",65
"0381C1050","1961-1970",134
"0381C1050","1971-1980",256
"0381C1050","1981-1990",..
"0381C1050","1991-2000",7
"0381C1050","2001-2010",9
"0381C1050","2011-2020",12
"0381C1050","2021-2030",..
"0381C1050","Ok�nt",..
"0381C1050","Totalt",492
"0381C1060","-1920",6
"0381C1060","1921-1930",11
"0381C1060","1931-1940",46
"0381C1060","1941-1950",23
"0381C1060","1951-1960",21
"0381C1060","1961-1970",13
"0381C1060","1971-1980",24
"0381C1060","1981-1990",9
