"Personbilar i trafik efter region, status och år"

"0127C1010","totalt",615
"0127C1020","totalt",810
"0127C1030","totalt",1298
"0127C1040","totalt",887
"0127C1050","totalt",1108
"0127C1060","totalt",1018
"0127C1070","totalt",841
"0127C1080","totalt",899
"0127C1090","totalt",642
"0127C1100","totalt",759
"0127C1110","totalt",591
"0127C1120","totalt",785
"0127C1130","totalt",685
"0127C1140","totalt",697
"0127C1150","totalt",953
"0127C1160","totalt",529
"0127C1170","totalt",863
"0127C1180","totalt",1287
"0127C1190","totalt",666
"0127C1200","totalt",1088
"0127C1210","totalt",636
"0127C1220","totalt",414
"0127C1230","totalt",477
"0127C1240","totalt",630
"0127C1250","totalt",1020
"0127C1260","totalt",859
"0127C1270","totalt",773
"0127C1280","totalt",641
"0127C1290","totalt",516
"0127C1300","totalt",273
"0127C1310","totalt",300
"0127C1320","totalt",540
"0127C1330","totalt",498
"0127C1340","totalt",503
"0127C1350","totalt",705
"0127C1360","totalt",441
"0127C1370","totalt",508
"0127C1380","totalt",235
"0127C1390","totalt",338
"0127C1400","totalt",535
"0127C1410","totalt",446
"0127C1420","totalt",352
"0127C1430","totalt",625
"0127C1440","totalt",516
"0127C1450","totalt",581
"0127C1460","totalt",723
"0127C1470","totalt",387
"0127C1480","totalt",642
"0128A0010","totalt",1035
"0128C1010","totalt",1267
"0128C1020","totalt",804
"0128C1030","totalt",802
"0128C1040","totalt",826
"0128C1050","totalt",773
"0128C1060","totalt",875
"0128C1070","totalt",897
"0136A0010","totalt",541
"0136A0020","totalt",1624
"0136A0030","totalt",975
"0136B2010","totalt",1007
"0136C1010","totalt",670
"0136C1020","totalt",781
"0136C1030","totalt",980
"0136C1040","totalt",1256
"0136C1050","totalt",844
"0136C1060","totalt",1000
"0136C1070","totalt",641
"0136C1080","totalt",1129
"0136C1090","totalt",697
"0136C1100","totalt",622
"0136C1110","totalt",817
"0136C1120","totalt",521
"0136C1130","totalt",460
"0136C1140","totalt",590
"0136C1150","totalt",668
"0136C1160","totalt",657
"0136C1170","totalt",704
"0136C1180","totalt",751
"0136C1190","totalt",459
"0136C1200","totalt",712
"0136C1210","totalt",413
"0136C1220","totalt",382
"0136C1230","totalt",718
"0136C1240","totalt",558
"0136C1250","totalt",704
"0136C1260","totalt",458
"0136C1270","totalt",426
"0136C1280","totalt",307
"0136C1290","totalt",528
"0136C1300","totalt",793
"0136C1310","totalt",1742
"0136C1320","totalt",806
"0136C1330","totalt",755
"0136C1340","totalt",1250
"0136C1350","totalt",677
"0136C1360","totalt",996
"0136C1370","totalt",800
"0136C1380","totalt",880
"0136C1390","totalt",896
"0136C1400","totalt",1071
"0136C1410","totalt",494
"0136C1420","totalt",692
"0136C1430","totalt",1099
"0136C1440","totalt",851
"0136C1450","totalt",1335
"0138A0010","totalt",877
"0138C1010","totalt",843
"0138C1020","totalt",949
"0138C1030","totalt",800
"0138C1040","totalt",1152
"0138C1050","totalt",765
"0138C1060","totalt",1131
"0138C1070","totalt",834
"0138C1080","totalt",741
"0138C1090","totalt",915
"0138C1100","totalt",629
"0138C1110","totalt",1063
"0138C1120","totalt",507
"0138C1130","totalt",517
"0138C1140","totalt",713
"0138C1150","totalt",715
"0138C1160","totalt",707
"0138C1170","totalt",1072
"0138C1180","totalt",503
"0138C1190","totalt",442
"0138C1200","totalt",530
"0138C1210","totalt",699
"0138C1220","totalt",575
"0138C1230","totalt",779
"0138C1240","totalt",653
"0138C1250","totalt",442
"0139A0010","totalt",1673
"0139A0020","totalt",1477
"0139B2010","totalt",776
"0139B2020","totalt",651
"0139B2030","totalt",272
"0139B2040","totalt",922
"0139B2050","totalt",533
"0139B2060","totalt",599
"0139C1010","totalt",1123
"0139C1020","totalt",712
"0139C1030","totalt",1173
"0139C1040","totalt",925
"0139C1050","totalt",1308
"0139C1060","totalt",902
"0139C1070","totalt",927
"0140A0010","totalt",906
"0140A0020","totalt",1356
"0140C1010","totalt",1388
"0140C1020","totalt",1251
"0140C1030","totalt",1017
"0140C1040","totalt",671
"0160C1010","totalt",921
"0160C1020","totalt",583
"0160C1030","totalt",702
"0160C1040","totalt",853
"0160C1050","totalt",919
"0160C1060","totalt",740
"0160C1070","totalt",884
"0160C1080","totalt",501
"0160C1090","totalt",823
"0160C1100","totalt",514
"0160C1110","totalt",693
"0160C1120","totalt",838
"0160C1130","totalt",573
"0160C1140","totalt",1317
"0160C1150","totalt",892
"0160C1160","totalt",1199
"0160C1170","totalt",999
"0160C1180","totalt",559
"0160C1190","totalt",535
"0160C1200","totalt",663
"0160C1210","totalt",1124
"0160C1220","totalt",834
"0160C1230","totalt",779
"0160C1240","totalt",855
"0160C1250","totalt",939
"0160C1260","totalt",891
"0160C1270","totalt",935
"0160C1280","totalt",779
"0160C1290","totalt",558
"0160C1300","totalt",991
"0160C1310","totalt",679
"0160C1320","totalt",787
"0160C1330","totalt",719
"0160C1340","totalt",1391
"0160C1350","totalt",797
"0160C1360","totalt",908
"0160C1370","totalt",1016
"0160C1380","totalt",913
"0162C1010","totalt",794
"0162C1020","totalt",729
"0162C1030","totalt",723
"0162C1040","totalt",419
"0162C1050","totalt",642
"0162C1060","totalt",418
"0162C1070","totalt",676
"0162C1080","totalt",738
"0162C1090","totalt",580
"0162C1100","totalt",852
"0162C1110","totalt",716
"0162C1120","totalt",710
"0162C1130","totalt",743
"0162C1140","totalt",813
"0162C1150","totalt",744
"0162C1160","totalt",701
"0162C1170","totalt",685
"0162C1180","totalt",724
"0162C1190","totalt",734
"0162C1200","totalt",780
"0163C1010","totalt",886
"0163C1020","totalt",813
"0163C1030","totalt",432
"0163C1040","totalt",828
"0163C1050","totalt",863
"0163C1060","totalt",808
"0163C1070","totalt",937
"0163C1080","totalt",655
"0163C1090","totalt",189
"0163C1100","totalt",501
"0163C1110","totalt",889
"0163C1120","totalt",392
"0163C1130","totalt",679
"0163C1140","totalt",1079
"0163C1150","totalt",646
"0163C1160","totalt",563
"0163C1170","totalt",630
"0163C1180","totalt",598
"0163C1190","totalt",727
"0163C1200","totalt",676
"0163C1210","totalt",903
"0163C1220","totalt",818
"0163C1230","totalt",625
"0163C1240","totalt",918
"0163C1250","totalt",500
"0163C1260","totalt",469
"0163C1270","totalt",659
"0163C1280","totalt",857
"0163C1290","totalt",1063
"0163C1300","totalt",910
"0163C1310","totalt",1446
"0163C1320","totalt",751
"0163C1330","totalt",600
"0163C1340","totalt",865
"0163C1350","totalt",456
"0163C1360","totalt",710
"0163C1370","totalt",631
"0163C1380","totalt",928
"0163C1390","totalt",391
"0163C1400","totalt",473
"0180C1010","totalt",423
"0180C1020","totalt",496
"0180C1030","totalt",641
"0180C1040","totalt",632
"0180C1050","totalt",738
"0180C1060","totalt",586
"0180C1070","totalt",328
"0180C1080","totalt",440
"0180C1090","totalt",419
"0180C1100","totalt",762
"0180C1110","totalt",729
"0180C1120","totalt",404
"0180C1130","totalt",374
"0180C1140","totalt",368
"0180C1150","totalt",531
"0180C1160","totalt",407
"0180C1170","totalt",745
"0180C1180","totalt",404
"0180C1190","totalt",422
"0180C1200","totalt",593
"0180C1210","totalt",498
"0180C1220","totalt",542
"0180C1230","totalt",484
"0180C1240","totalt",866
"0180C1250","totalt",621
"0180C1260","totalt",402
"0180C1270","totalt",586
"0180C1280","totalt",486
"0180C1290","totalt",501
"0180C1300","totalt",302
"0180C1310","totalt",520
"0180C1320","totalt",515
"0180C1330","totalt",471
"0180C1340","totalt",457
"0180C1350","totalt",728
"0180C1360","totalt",468
"0180C1370","totalt",431
"0180C1380","totalt",437
"0180C1390","totalt",518
"0180C1400","totalt",565
"0180C1410","totalt",456
"0180C1420","totalt",486
"0180C1430","totalt",670
"0180C1440","totalt",539
"0180C1450","totalt",520
"0180C1460","totalt",536
"0180C1470","totalt",458
"0180C1480","totalt",397
"0180C1490","totalt",467
"0180C1500","totalt",492
"0180C1510","totalt",334
"0180C1520","totalt",376
"0180C1530","totalt",532
"0180C1540","totalt",344
"0180C1550","totalt",765
"0180C1560","totalt",461
"0180C1570","totalt",535
"0180C1580","totalt",380
"0180C1590","totalt",564
"0180C1600","totalt",409
"0180C1610","totalt",587
"0180C1620","totalt",545
"0180C1630","totalt",593
"0180C1640","totalt",594
"0180C1650","totalt",727
"0180C1660","totalt",365
"0180C1670","totalt",760
"0180C1680","totalt",399
"0180C1690","totalt",694
"0180C1700","totalt",742
"0180C1710","totalt",553
"0180C1720","totalt",397
"0180C1730","totalt",495
"0180C1740","totalt",350
"0180C1750","totalt",358
"0180C1760","totalt",554
"0180C1770","totalt",717
"0180C1780","totalt",363
"0180C1790","totalt",637
"0180C1800","totalt",415
"0180C1810","totalt",463
"0180C1820","totalt",828
"0180C1830","totalt",762
"0180C1840","totalt",499
"0180C1850","totalt",365
"0180C1860","totalt",654
"0180C1870","totalt",778
"0180C1880","totalt",732
"0180C1890","totalt",591
"0180C1900","totalt",375
"0180C1910","totalt",392
"0180C1920","totalt",664
"0180C1930","totalt",811
"0180C1940","totalt",487
"0180C1950","totalt",517
"0180C1960","totalt",424
"0180C1970","totalt",584
"0180C1980","totalt",453
"0180C1990","totalt",441
"0180C2000","totalt",379
"0180C2010","totalt",510
"0180C2020","totalt",419
"0180C2030","totalt",685
"0180C2040","totalt",309
"0180C2050","totalt",551
"0180C2060","totalt",393
"0180C2070","totalt",668
"0180C2080","totalt",469
"0180C2090","totalt",643
"0180C2100","totalt",513
"0180C2110","totalt",904
"0180C2120","totalt",533
"0180C2130","totalt",470
"0180C2140","totalt",592
"0180C2150","totalt",755
"0180C2160","totalt",510
"0180C2170","totalt",397
"0180C2180","totalt",562
"0180C2190","totalt",533
"0180C2200","totalt",310
"0180C2210","totalt",356
"0180C2220","totalt",782
"0180C2230","totalt",396
"0180C2240","totalt",460
"0180C2250","totalt",474
"0180C2260","totalt",327
"0180C2270","totalt",490
"0180C2280","totalt",474
"0180C2290","totalt",615
"0180C2300","totalt",856
"0180C2310","totalt",511
"0180C2320","totalt",542
"0180C2330","totalt",445
"0180C2340","totalt",539
"0180C2350","totalt",578
"0180C2360","totalt",385
"0180C2370","totalt",386
"0180C2380","totalt",494
"0180C2390","totalt",409
"0180C2400","totalt",415
"0180C2410","totalt",406
"0180C2420","totalt",532
"0180C2430","totalt",722
"0180C2440","totalt",530
"0180C2450","totalt",342
"0180C2460","totalt",555
"0180C2470","totalt",354
"0180C2480","totalt",477
"0180C2490","totalt",476
"0180C2500","totalt",414
"0180C2510","totalt",506
"0180C2520","totalt",277
"0180C2530","totalt",417
"0180C2540","totalt",489
"0180C2550","totalt",462
"0180C2560","totalt",429
"0180C2570","totalt",465
"0180C2580","totalt",699
"0180C2590","totalt",496
"0180C2600","totalt",569
"0180C2610","totalt",479
"0180C2620","totalt",557
"0180C2630","totalt",370
"0180C2640","totalt",553
"0180C2650","totalt",346
"0180C2660","totalt",344
"0180C2670","totalt",403
"0180C2680","totalt",487
"0180C2690","totalt",448
"0180C2700","totalt",551
"0180C2710","totalt",492
"0180C2720","totalt",351
"0180C2730","totalt",376
"0180C2740","totalt",422
"0180C2750","totalt",515
"0180C2760","totalt",390
"0180C2770","totalt",446
"0180C2780","totalt",765
"0180C2790","totalt",407
"0180C2800","totalt",463
"0180C2810","totalt",477
"0180C2820","totalt",339
"0180C2830","totalt",351
"0180C2840","totalt",423
"0180C2850","totalt",369
"0180C2860","totalt",454
"0180C2870","totalt",305
"0180C2880","totalt",661
"0180C2890","totalt",374
"0180C2900","totalt",546
"0180C2910","totalt",368
"0180C2920","totalt",586
"0180C2930","totalt",332
"0180C2940","totalt",471
"0180C2950","totalt",1047
"0180C2960","totalt",469
"0180C2970","totalt",432
"0180C2980","totalt",354
"0180C2990","totalt",307
"0180C3000","totalt",326
"0180C3010","totalt",258
"0180C3020","totalt",267
"0180C3030","totalt",276
"0180C3040","totalt",426
"0180C3050","totalt",400
"0180C3060","totalt",302
"0180C3070","totalt",439
"0180C3080","totalt",274
"0180C3090","totalt",353
"0180C3100","totalt",651
"0180C3110","totalt",250
"0180C3120","totalt",361
"0180C3130","totalt",320
"0180C3140","totalt",356
"0180C3150","totalt",269
"0180C3160","totalt",390
"0180C3170","totalt",340
"0180C3180","totalt",344
"0180C3190","totalt",494
"0180C3200","totalt",446
"0180C3210","totalt",362
"0180C3220","totalt",471
"0180C3230","totalt",369
"0180C3240","totalt",505
"0180C3250","totalt",334
"0180C3260","totalt",380
"0180C3270","totalt",473
"0180C3280","totalt",276
"0180C3290","totalt",275
"0180C3300","totalt",474
"0180C3310","totalt",307
"0180C3320","totalt",317
"0180C3330","totalt",542
"0180C3340","totalt",342
"0180C3350","totalt",394
"0180C3360","totalt",408
"0180C3370","totalt",374
"0180C3380","totalt",270
"0180C3390","totalt",258
"0180C3400","totalt",327
"0180C3410","totalt",453
"0180C3420","totalt",319
"0180C3430","totalt",321
"0180C3440","totalt",292
"0180C3450","totalt",419
"0180C3460","totalt",308
"0180C3470","totalt",249
"0180C3480","totalt",422
"0180C3490","totalt",277
"0180C3500","totalt",211
